File,Datetime,Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Species Code,Common Name,Confidence
"SYNC/Cam07/2021-04-19/04 Camera 7 - 4-19-2021, 4.00.00am - 11.mp4",2021-04-19 04:00:00,27.0,Spectrogram 1,1.0,123.0,126.0,150.0,12000.0,banswa,Bank Swallow,0.1078
"SYNC/Cam02/2021-03-25/10 Camera 2 - 3-25-2021, 6.10.00am.mp4",2021-03-25 06:10:00,55.0,Spectrogram 1,1.0,2034.0,2037.0,150.0,12000.0,amtspa,American Tree Sparrow,0.1568
"SYNC/Cam09/2021-04-17/06 Camera 9 - 4-17-2021, 4.00.00am (15).mp4",2021-04-17 04:00:00,21.0,Spectrogram 1,1.0,225.0,228.0,150.0,12000.0,caltow,California Towhee,0.5687
scrubbed/Scrubbed_Files_01/lake2/20131104/proc_lake2_D20131104T212937m241.wav,2013-11-04 21:29:37,2.0,Spectrogram 1,1.0,3.0,6.0,150.0,12000.0,comgol,Common Goldeneye,0.9138
SYNC/Cam01/2020-05-31/UniFiVideo.Export.20200531.161001-20200531.131001/20200531.144001.JRNVR1Cam1.mp4,2020-05-31 07:40:01,13.0,Spectrogram 1,1.0,39.0,42.0,150.0,12000.0,gnttow,Green-tailed Towhee,0.3282
SYNC/Cam09/2020-09-30/UniFiVideo.Export.20200930.191000-20200930.071001/20200930.182000.JRNVR1Cam9.mp4,2020-09-30 11:20:00,24.0,Spectrogram 1,1.0,321.0,324.0,150.0,12000.0,cowscj1,California Scrub-Jay,0.2546
scrubbed/Scrubbed_Files_03/ridge1/20201122/proc_ridge1_PST_D20201122T064508m520.wav,2020-11-22 06:45:08,1.0,Spectrogram 1,1.0,0.0,3.0,150.0,12000.0,comshe,Common Shelduck,0.1109
"SYNC/Cam02/2021-03-20/10 Camera 2 - 3-20-2021, 6.09.00am (1).mp4",2021-03-20 06:09:00,626.0,Spectrogram 1,1.0,2823.0,2826.0,150.0,12000.0,bacspa,Bachman's Sparrow,0.1288
"SYNC/Cam09/2021-04-18/06 Camera 9 - 4-18-2021, 4.00.00am - 4.mp4",2021-04-18 04:00:00,174.0,Spectrogram 1,1.0,708.0,711.0,150.0,12000.0,leabit,Least Bittern,0.1475
SYNC/Cam10/2021-02-07/UniFiVideo.Export.20210207.181001-20210207.142000/20210207.180001.JRNVR1Cam10.mp4,2021-02-07 11:00:01,55.0,Spectrogram 1,1.0,375.0,378.0,150.0,12000.0,daejun,Dark-eyed Junco,0.1674
SYNC/Cam10/2020-05-04/UniFiVideo.Export.20200504.192001-20200504.132000/20200504.155000.JRNVR1Cam10.mp4,2020-05-04 08:50:00,4.0,Spectrogram 1,1.0,6.0,9.0,150.0,12000.0,cowscj1,California Scrub-Jay,0.932
"SYNC/Cam07/2021-03-07/04 Camera 7 - 3-7-2021, 4.00.00am (3).mp4",2021-03-07 04:00:00,159.0,Spectrogram 1,1.0,1068.0,1071.0,150.0,12000.0,baleag,Bald Eagle,0.193
